gate_id,station,gate_number,direction_description,nearby_landmark
61,20,1,Towards Residential Area,Bus Terminus near Ramesh Nagar
62,20,2,Towards East Avenue,Hospital near Ramesh Nagar
63,20,3,Towards West Avenue,City Mall near Ramesh Nagar
64,21,1,Towards North Block,PVR Cinemas near Moti Nagar
65,21,2,Towards Commercial Hub,PVR Cinemas near Moti Nagar
66,21,3,Towards Residential Area,Post Office near Moti Nagar
67,21,4,Towards North Block,Post Office near Moti Nagar
68,22,1,Towards Bus Stand,Hospital near Kirti Nagar
69,22,2,Towards South Block,Hospital near Kirti Nagar
70,22,3,Towards Main Road,Bank Branch near Kirti Nagar
71,22,4,Towards South Block,Sports Complex near Kirti Nagar
72,23,1,Towards Residential Area,Police Station near Shadipur
73,23,2,Towards North Block,Local Market near Shadipur
74,24,1,Towards Bus Stand,Bank Branch near Patel Nagar
75,24,2,Towards Residential Area,Central Park near Patel Nagar
76,25,1,Towards West Avenue,Central Park near Rajendra Place
77,25,2,Towards Commercial Hub,Hospital near Rajendra Place
78,25,3,Towards West Avenue,PVR Cinemas near Rajendra Place
79,25,4,Towards Commercial Hub,Bus Terminus near Rajendra Place
80,26,1,Towards East Avenue,Local Market near Karol Bagh
81,26,2,Towards Bus Stand,Bus Terminus near Karol Bagh
82,26,3,Towards East Avenue,Post Office near Karol Bagh
83,26,4,Towards South Block,Sports Complex near Karol Bagh
84,27,1,Towards West Avenue,Central Park near Jhandewalan
85,27,2,Towards Bus Stand,Local Market near Jhandewalan
86,27,3,Towards Residential Area,Police Station near Jhandewalan
87,27,4,Towards Main Road,Bank Branch near Jhandewalan
88,28,1,Towards Bus Stand,Bank Branch near Ramakrishna Ashram Marg
89,28,2,Towards Bus Stand,City Mall near Ramakrishna Ashram Marg
90,28,3,Towards Residential Area,Post Office near Ramakrishna Ashram Marg
91,28,4,Towards Main Road,Local Market near Ramakrishna Ashram Marg
92,29,1,Towards Main Road,Police Station near Rajiv Chowk
93,29,2,Towards Residential Area,PVR Cinemas near Rajiv Chowk
94,30,1,Towards North Block,Post Office near Barakhamba Road
95,30,2,Towards West Avenue,Local Market near Barakhamba Road
96,31,1,Towards Commercial Hub,Bank Branch near Mandi House
97,31,2,Towards West Avenue,Local Market near Mandi House
98,31,3,Towards West Avenue,University near Mandi House
99,31,4,Towards Bus Stand,Central Park near Mandi House
100,32,1,Towards East Avenue,Police Station near Supreme Court
101,32,2,Towards East Avenue,University near Supreme Court
102,33,1,Towards Main Road,Post Office near Indraprastha
103,33,2,Towards Residential Area,City Mall near Indraprastha
104,33,3,Towards East Avenue,Police Station near Indraprastha
105,34,1,Towards Bus Stand,Local Market near Yamuna Bank
106,34,2,Towards Bus Stand,PVR Cinemas near Yamuna Bank
107,35,1,Towards Commercial Hub,University near Akshardham
108,35,2,Towards Commercial Hub,Bus Terminus near Akshardham
109,35,3,Towards West Avenue,Local Market near Akshardham
110,36,1,Towards West Avenue,PVR Cinemas near Mayur Vihar-I
111,36,2,Towards Residential Area,City Mall near Mayur Vihar-I
112,37,1,Towards Main Road,Central Park near Mayur Vihar Extension
113,37,2,Towards Bus Stand,Hospital near Mayur Vihar Extension
114,37,3,Towards East Avenue,Sports Complex near Mayur Vihar Extension
115,37,4,Towards West Avenue,Local Market near Mayur Vihar Extension
116,38,1,Towards Main Road,Hospital near New Ashok Nagar
117,38,2,Towards East Avenue,City Mall near New Ashok Nagar
118,38,3,Towards East Avenue,Bus Terminus near New Ashok Nagar
119,39,1,Towards North Block,University near Noida Sector 15
120,39,2,Towards West Avenue,Hospital near Noida Sector 15
121,39,3,Towards Bus Stand,Bus Terminus near Noida Sector 15
122,40,1,Towards Main Road,Bank Branch near Noida Sector 16
123,40,2,Towards Main Road,Police Station near Noida Sector 16
124,41,1,Towards Main Road,Bank Branch near Noida Sector 18
125,41,2,Towards West Avenue,PVR Cinemas near Noida Sector 18
126,42,1,Towards Commercial Hub,City Mall near Botanical Garden
127,42,2,Towards Residential Area,Hospital near Botanical Garden
128,42,3,Towards Residential Area,Bank Branch near Botanical Garden
129,42,4,Towards Residential Area,Post Office near Botanical Garden
130,43,1,Towards East Avenue,Central Park near Golf Course
131,43,2,Towards Bus Stand,Bank Branch near Golf Course
132,44,1,Towards Main Road,Bank Branch near Noida City Centre
133,44,2,Towards Residential Area,University near Noida City Centre
134,44,3,Towards South Block,Bus Terminus near Noida City Centre
135,44,4,Towards Bus Stand,Post Office near Noida City Centre
136,45,1,Towards South Block,Local Market near Noida Sector 34
137,45,2,Towards North Block,University near Noida Sector 34
138,45,3,Towards Commercial Hub,Post Office near Noida Sector 34
139,45,4,Towards North Block,Sports Complex near Noida Sector 34
140,46,1,Towards Residential Area,City Mall near Noida Sector 52
141,46,2,Towards West Avenue,Bank Branch near Noida Sector 52
142,46,3,Towards Residential Area,Central Park near Noida Sector 52
143,47,1,Towards Bus Stand,PVR Cinemas near Noida Sector 61
144,47,2,Towards North Block,Hospital near Noida Sector 61
145,47,3,Towards South Block,Central Park near Noida Sector 61
146,47,4,Towards Bus Stand,Police Station near Noida Sector 61
147,48,1,Towards Commercial Hub,Sports Complex near Noida Sector 59
148,48,2,Towards North Block,Bank Branch near Noida Sector 59
149,48,3,Towards Main Road,Post Office near Noida Sector 59
150,49,1,Towards North Block,Post Office near Noida Sector 62
151,49,2,Towards Residential Area,Hospital near Noida Sector 62
152,49,3,Towards North Block,Central Park near Noida Sector 62
153,49,4,Towards Residential Area,PVR Cinemas near Noida Sector 62
154,50,1,Towards North Block,Bus Terminus near Noida Electronic City
155,50,2,Towards Bus Stand,Police Station near Noida Electronic City
156,51,1,Towards North Block,PVR Cinemas near Laxmi Nagar
157,51,2,Towards West Avenue,Bus Terminus near Laxmi Nagar
158,52,1,Towards Residential Area,Post Office near Nirman Vihar
159,52,2,Towards East Avenue,Bus Terminus near Nirman Vihar
160,53,1,Towards Main Road,Police Station near Preet Vihar
161,53,2,Towards Commercial Hub,Post Office near Preet Vihar
162,54,1,Towards Commercial Hub,Sports Complex near Karkarduma
163,54,2,Towards East Avenue,PVR Cinemas near Karkarduma
164,54,3,Towards Main Road,Central Park near Karkarduma
165,55,1,Towards Commercial Hub,PVR Cinemas near Anand Vihar
166,55,2,Towards Main Road,Police Station near Anand Vihar
167,56,1,Towards Commercial Hub,University near Kaushambi
168,56,2,Towards Commercial Hub,City Mall near Kaushambi
169,56,3,Towards North Block,Police Station near Kaushambi
170,56,4,Towards Main Road,Police Station near Kaushambi
171,57,1,Towards Bus Stand,Post Office near Vaishali
172,57,2,Towards Residential Area,Police Station near Vaishali
173,58,1,Towards East Avenue,Bank Branch near Inderlok
174,58,2,Towards Commercial Hub,Local Market near Inderlok
175,58,3,Towards Commercial Hub,Hospital near Inderlok
176,58,4,Towards East Avenue,City Mall near Inderlok
177,59,1,Towards South Block,University near Ashok Park Main
178,59,2,Towards Bus Stand,Bus Terminus near Ashok Park Main
179,60,1,Towards Residential Area,University near Punjabi Bagh / Punjabi Bagh West
180,60,2,Towards Main Road,Sports Complex near Punjabi Bagh / Punjabi Bagh West
181,61,1,Towards Bus Stand,Sports Complex near Shivaji Park
182,61,2,Towards South Block,Bus Terminus near Shivaji Park
183,62,1,Towards Bus Stand,City Mall near Madipur
184,62,2,Towards Bus Stand,University near Madipur
185,63,1,Towards North Block,Central Park near Paschim Vihar East
186,63,2,Towards North Block,Police Station near Paschim Vihar East
187,63,3,Towards East Avenue,Post Office near Paschim Vihar East
188,64,1,Towards South Block,City Mall near Paschim Vihar West
189,64,2,Towards Residential Area,Bus Terminus near Paschim Vihar West
190,64,3,Towards Commercial Hub,Bank Branch near Paschim Vihar West
191,64,4,Towards North Block,City Mall near Paschim Vihar West
192,65,1,Towards East Avenue,Police Station near Peera Garhi
193,65,2,Towards South Block,University near Peera Garhi
194,66,1,Towards Residential Area,University near Udyog Nagar
195,66,2,Towards Bus Stand,Bus Terminus near Udyog Nagar
196,66,3,Towards Main Road,University near Udyog Nagar
197,66,4,Towards Main Road,PVR Cinemas near Udyog Nagar
198,67,1,Towards Bus Stand,Police Station near Surajmal Stadium
199,67,2,Towards East Avenue,Central Park near Surajmal Stadium
200,67,3,Towards South Block,Bank Branch near Surajmal Stadium
201,67,4,Towards South Block,Post Office near Surajmal Stadium
202,68,1,Towards North Block,PVR Cinemas near Nangloi
203,68,2,Towards North Block,Post Office near Nangloi
204,69,1,Towards South Block,University near Nangloi Railway Station
205,69,2,Towards North Block,PVR Cinemas near Nangloi Railway Station
206,69,3,Towards Commercial Hub,Local Market near Nangloi Railway Station
207,70,1,Towards East Avenue,Post Office near Rajdhani Park
208,70,2,Towards Commercial Hub,Bank Branch near Rajdhani Park
209,70,3,Towards North Block,University near Rajdhani Park
210,71,1,Towards Main Road,Bus Terminus near Mundka
211,71,2,Towards North Block,Local Market near Mundka
212,71,3,Towards East Avenue,Bank Branch near Mundka
213,71,4,Towards South Block,Sports Complex near Mundka
214,72,1,Towards West Avenue,Post Office near Mundka Industrial Area
215,72,2,Towards Bus Stand,PVR Cinemas near Mundka Industrial Area
216,72,3,Towards West Avenue,Hospital near Mundka Industrial Area
217,73,1,Towards Residential Area,Bus Terminus near Ghevra
218,73,2,Towards South Block,Central Park near Ghevra
219,73,3,Towards Bus Stand,Post Office near Ghevra
220,73,4,Towards North Block,Local Market near Ghevra
221,74,1,Towards Commercial Hub,City Mall near Tikri Kalan
222,74,2,Towards Main Road,Local Market near Tikri Kalan
223,75,1,Towards Residential Area,Sports Complex near Tikri Border
224,75,2,Towards East Avenue,Post Office near Tikri Border
225,75,3,Towards Bus Stand,University near Tikri Border
226,76,1,Towards East Avenue,Local Market near Pandit Shree Ram Sharma
227,76,2,Towards Commercial Hub,Post Office near Pandit Shree Ram Sharma
228,76,3,Towards Main Road,Central Park near Pandit Shree Ram Sharma
229,77,1,Towards Bus Stand,Hospital near Bahadurgarh City
230,77,2,Towards West Avenue,City Mall near Bahadurgarh City
231,77,3,Towards Bus Stand,Central Park near Bahadurgarh City
232,78,1,Towards Commercial Hub,Sports Complex near Brigadier Hoshiyar Singh
233,78,2,Towards South Block,Sports Complex near Brigadier Hoshiyar Singh
234,78,3,Towards East Avenue,PVR Cinemas near Brigadier Hoshiyar Singh
235,79,1,Towards Commercial Hub,Sports Complex near Kirti Nagar
236,79,2,Towards West Avenue,Bus Terminus near Kirti Nagar
237,79,3,Towards Bus Stand,Post Office near Kirti Nagar
238,80,1,Towards West Avenue,Post Office near Satguru Ram Singh Marg
239,80,2,Towards Bus Stand,Bus Terminus near Satguru Ram Singh Marg
240,80,3,Towards West Avenue,Central Park near Satguru Ram Singh Marg
241,81,1,Towards North Block,Local Market near Dwarka
242,81,2,Towards North Block,Police Station near Dwarka
243,81,3,Towards South Block,PVR Cinemas near Dwarka
244,81,4,Towards Residential Area,Hospital near Dwarka
245,82,1,Towards Bus Stand,University near Nangli
246,82,2,Towards Commercial Hub,Local Market near Nangli
247,83,1,Towards East Avenue,University near Najafgarh
248,83,2,Towards South Block,PVR Cinemas near Najafgarh
249,84,1,Towards East Avenue,City Mall near Dhansa Bus Stand
250,84,2,Towards Bus Stand,University near Dhansa Bus Stand
251,84,3,Towards East Avenue,Bank Branch near Dhansa Bus Stand
252,85,1,Towards Main Road,Bank Branch near Janakpuri West
253,85,2,Towards East Avenue,Sports Complex near Janakpuri West
254,85,3,Towards Main Road,Police Station near Janakpuri West
255,85,4,Towards North Block,University near Janakpuri West
256,86,1,Towards Bus Stand,Sports Complex near Dabri Mor - South Janakpuri
257,86,2,Towards Bus Stand,Bus Terminus near Dabri Mor - South Janakpuri
258,86,3,Towards East Avenue,Sports Complex near Dabri Mor - South Janakpuri
259,87,1,Towards East Avenue,Police Station near Dashrath Puri
260,87,2,Towards East Avenue,Hospital near Dashrath Puri
261,88,1,Towards Commercial Hub,Bank Branch near Palam
262,88,2,Towards Main Road,University near Palam
263,88,3,Towards Main Road,Central Park near Palam
264,89,1,Towards East Avenue,Hospital near Sadar Bazar Cantonment
265,89,2,Towards West Avenue,Hospital near Sadar Bazar Cantonment
266,89,3,Towards Main Road,Bus Terminus near Sadar Bazar Cantonment
267,89,4,Towards East Avenue,Police Station near Sadar Bazar Cantonment
268,90,1,Towards West Avenue,Police Station near Terminal 1 IGI Airport
269,90,2,Towards South Block,University near Terminal 1 IGI Airport
270,91,1,Towards East Avenue,Bus Terminus near Shankar Vihar
271,91,2,Towards Residential Area,Sports Complex near Shankar Vihar
272,91,3,Towards Main Road,PVR Cinemas near Shankar Vihar
273,92,1,Towards South Block,Local Market near Vasant Vihar
274,92,2,Towards Residential Area,Post Office near Vasant Vihar
275,93,1,Towards Main Road,Local Market near Munirka
276,93,2,Towards Bus Stand,City Mall near Munirka
277,94,1,Towards Commercial Hub,Local Market near R.K. Puram
278,94,2,Towards Commercial Hub,Sports Complex near R.K. Puram
279,94,3,Towards Residential Area,Bank Branch near R.K. Puram
280,94,4,Towards Bus Stand,Sports Complex near R.K. Puram
281,95,1,Towards North Block,Police Station near IIT Delhi
282,95,2,Towards Commercial Hub,Bank Branch near IIT Delhi
283,95,3,Towards Residential Area,Hospital near IIT Delhi
284,95,4,Towards North Block,Central Park near IIT Delhi
285,96,1,Towards Main Road,Bus Terminus near Hauz Khas
286,96,2,Towards East Avenue,University near Hauz Khas
287,96,3,Towards Bus Stand,Central Park near Hauz Khas
288,96,4,Towards Bus Stand,Central Park near Hauz Khas
289,97,1,Towards North Block,Post Office near Panchsheel Park
290,97,2,Towards Residential Area,Bank Branch near Panchsheel Park
291,97,3,Towards Main Road,Police Station near Panchsheel Park
292,97,4,Towards East Avenue,Post Office near Panchsheel Park
293,98,1,Towards Residential Area,PVR Cinemas near Chirag Delhi
294,98,2,Towards South Block,City Mall near Chirag Delhi
295,98,3,Towards East Avenue,Sports Complex near Chirag Delhi
296,99,1,Towards East Avenue,Police Station near Greater Kailash
297,99,2,Towards West Avenue,Hospital near Greater Kailash
298,100,1,Towards Commercial Hub,PVR Cinemas near Nehru Enclave
299,100,2,Towards North Block,Bank Branch near Nehru Enclave
300,100,3,Towards West Avenue,Sports Complex near Nehru Enclave
301,101,1,Towards North Block,Police Station near Kalkaji Mandir
302,101,2,Towards Bus Stand,Central Park near Kalkaji Mandir
303,101,3,Towards North Block,Sports Complex near Kalkaji Mandir
304,102,1,Towards West Avenue,Bank Branch near Okhla NSIC
305,102,2,Towards East Avenue,Police Station near Okhla NSIC
306,103,1,Towards West Avenue,Police Station near Sukhdev Vihar
307,103,2,Towards Commercial Hub,Sports Complex near Sukhdev Vihar
308,104,1,Towards South Block,Bus Terminus near Jamia Millia Islamia
309,104,2,Towards South Block,Bus Terminus near Jamia Millia Islamia
310,105,1,Towards North Block,PVR Cinemas near Okhla Vihar
311,105,2,Towards Main Road,PVR Cinemas near Okhla Vihar
312,105,3,Towards Bus Stand,Central Park near Okhla Vihar
313,105,4,Towards Bus Stand,University near Okhla Vihar
314,106,1,Towards Bus Stand,Sports Complex near Jasola Vihar Shaheen Bagh
315,106,2,Towards West Avenue,Sports Complex near Jasola Vihar Shaheen Bagh
316,106,3,Towards Main Road,Central Park near Jasola Vihar Shaheen Bagh
317,107,1,Towards Bus Stand,University near Kalindi Kunj
318,107,2,Towards Bus Stand,Bus Terminus near Kalindi Kunj
319,107,3,Towards South Block,Sports Complex near Kalindi Kunj
320,108,1,Towards South Block,University near Okhla Bird Sanctuary
321,108,2,Towards South Block,Police Station near Okhla Bird Sanctuary
322,108,3,Towards West Avenue,Bus Terminus near Okhla Bird Sanctuary
323,108,4,Towards North Block,Bus Terminus near Okhla Bird Sanctuary
324,109,1,Towards Residential Area,Local Market near Botanical Garden
325,109,2,Towards South Block,Central Park near Botanical Garden
326,110,1,Towards Commercial Hub,Local Market near New Delhi
327,110,2,Towards Bus Stand,Sports Complex near New Delhi
328,110,3,Towards North Block,Bank Branch near New Delhi
329,110,4,Towards North Block,Central Park near New Delhi
330,111,1,Towards North Block,Local Market near Shivaji Stadium
331,111,2,Towards South Block,Hospital near Shivaji Stadium
332,112,1,Towards Main Road,PVR Cinemas near Dhaula Kuan / Durgabai Deshmukh South Campus
333,112,2,Towards Commercial Hub,Bus Terminus near Dhaula Kuan / Durgabai Deshmukh South Campus
334,112,3,Towards Main Road,City Mall near Dhaula Kuan / Durgabai Deshmukh South Campus
335,113,1,Towards North Block,Hospital near Delhi Aerocity
336,113,2,Towards West Avenue,Central Park near Delhi Aerocity
337,113,3,Towards Main Road,Bank Branch near Delhi Aerocity
338,113,4,Towards North Block,Sports Complex near Delhi Aerocity
339,114,1,Towards West Avenue,Police Station near IGI Airport
340,114,2,Towards Commercial Hub,City Mall near IGI Airport
341,114,3,Towards North Block,Sports Complex near IGI Airport
342,115,1,Towards Residential Area,University near Dwarka Sector 21
343,115,2,Towards West Avenue,Central Park near Dwarka Sector 21
344,116,1,Towards Main Road,Hospital near Yashobhoomi Dwarka Sector 25
345,116,2,Towards Commercial Hub,Bank Branch near Yashobhoomi Dwarka Sector 25
346,116,3,Towards North Block,Central Park near Yashobhoomi Dwarka Sector 25
347,116,4,Towards Bus Stand,Central Park near Yashobhoomi Dwarka Sector 25
348,117,1,Towards East Avenue,Bank Branch near Majlis Park
349,117,2,Towards Bus Stand,PVR Cinemas near Majlis Park
350,117,3,Towards East Avenue,Sports Complex near Majlis Park
351,117,4,Towards West Avenue,Bus Terminus near Majlis Park
352,118,1,Towards East Avenue,Bus Terminus near Azadpur
353,118,2,Towards Main Road,Bank Branch near Azadpur
354,118,3,Towards Residential Area,Local Market near Azadpur
355,118,4,Towards Bus Stand,Bus Terminus near Azadpur
356,119,1,Towards Residential Area,Hospital near Shalimar Bagh
357,119,2,Towards Bus Stand,Hospital near Shalimar Bagh
358,119,3,Towards Residential Area,Hospital near Shalimar Bagh
359,119,4,Towards Main Road,University near Shalimar Bagh
360,120,1,Towards West Avenue,Bus Terminus near Netaji Subhash Place
361,120,2,Towards Main Road,Local Market near Netaji Subhash Place
362,120,3,Towards North Block,Bus Terminus near Netaji Subhash Place
363,121,1,Towards West Avenue,Central Park near Shakurpur
364,121,2,Towards Bus Stand,Bus Terminus near Shakurpur
365,121,3,Towards Bus Stand,University near Shakurpur
366,121,4,Towards Residential Area,PVR Cinemas near Shakurpur
367,122,1,Towards Commercial Hub,Bus Terminus near Punjabi Bagh / Punjabi Bagh West
368,122,2,Towards Commercial Hub,Central Park near Punjabi Bagh / Punjabi Bagh West
369,123,1,Towards Commercial Hub,Bus Terminus near ESI - Basaidarapur
370,123,2,Towards North Block,Sports Complex near ESI - Basaidarapur
371,124,1,Towards West Avenue,Bus Terminus near Rajouri Garden
372,124,2,Towards East Avenue,Bus Terminus near Rajouri Garden
373,125,1,Towards West Avenue,Sports Complex near Maya Enclave
374,125,2,Towards Residential Area,Bank Branch near Maya Enclave
375,125,3,Towards Main Road,University near Maya Enclave
376,125,4,Towards South Block,Bank Branch near Maya Enclave
377,126,1,Towards Main Road,Central Park near Naraina Vihar
378,126,2,Towards Bus Stand,Post Office near Naraina Vihar
379,126,3,Towards Main Road,Post Office near Naraina Vihar
380,127,1,Towards Main Road,Hospital near Delhi Cantt
381,127,2,Towards West Avenue,PVR Cinemas near Delhi Cantt
382,127,3,Towards West Avenue,Bus Terminus near Delhi Cantt
383,128,1,Towards East Avenue,Post Office near Dhaula Kuan / Durgabai Deshmukh South Campus
384,128,2,Towards West Avenue,Central Park near Dhaula Kuan / Durgabai Deshmukh South Campus
385,129,1,Towards South Block,University near Sir Vishweshwaraiah Moti Bagh
386,129,2,Towards South Block,Police Station near Sir Vishweshwaraiah Moti Bagh
387,129,3,Towards Residential Area,Hospital near Sir Vishweshwaraiah Moti Bagh
388,130,1,Towards East Avenue,Sports Complex near Bhikaji Cama Place
389,130,2,Towards North Block,Post Office near Bhikaji Cama Place
390,130,3,Towards East Avenue,PVR Cinemas near Bhikaji Cama Place
391,131,1,Towards West Avenue,Central Park near Sarojini Nagar
392,131,2,Towards South Block,Bus Terminus near Sarojini Nagar
393,132,1,Towards Residential Area,University near Dilli Haat - INA
394,132,2,Towards Main Road,Post Office near Dilli Haat - INA
395,132,3,Towards West Avenue,University near Dilli Haat - INA
396,133,1,Towards Bus Stand,PVR Cinemas near South Extension
397,133,2,Towards South Block,Bank Branch near South Extension
398,134,1,Towards West Avenue,City Mall near Lajpat Nagar
399,134,2,Towards Bus Stand,Bus Terminus near Lajpat Nagar
400,134,3,Towards Commercial Hub,Bus Terminus near Lajpat Nagar
401,135,1,Towards West Avenue,Central Park near Vinobapuri
402,135,2,Towards Main Road,Post Office near Vinobapuri
403,135,3,Towards Bus Stand,Hospital near Vinobapuri
404,136,1,Towards Main Road,PVR Cinemas near Ashram
405,136,2,Towards East Avenue,Central Park near Ashram
406,136,3,Towards Bus Stand,Central Park near Ashram
407,137,1,Towards Residential Area,Post Office near Hazrat Nizamuddin
408,137,2,Towards Commercial Hub,Sports Complex near Hazrat Nizamuddin
409,137,3,Towards North Block,PVR Cinemas near Hazrat Nizamuddin
410,138,1,Towards North Block,University near Mayur Vihar-I
411,138,2,Towards West Avenue,Sports Complex near Mayur Vihar-I
412,138,3,Towards Bus Stand,Sports Complex near Mayur Vihar-I
413,138,4,Towards Commercial Hub,University near Mayur Vihar-I
414,139,1,Towards Commercial Hub,Central Park near Mayur Vihar Pocket I
415,139,2,Towards North Block,University near Mayur Vihar Pocket I
416,140,1,Towards North Block,City Mall near Trilokpuri Sanjay Lake
417,140,2,Towards North Block,Bus Terminus near Trilokpuri Sanjay Lake
418,140,3,Towards West Avenue,Hospital near Trilokpuri Sanjay Lake
419,141,1,Towards West Avenue,Police Station near East Vinod Nagar - Mayur Vihar-II
420,141,2,Towards South Block,PVR Cinemas near East Vinod Nagar - Mayur Vihar-II
421,141,3,Towards East Avenue,Sports Complex near East Vinod Nagar - Mayur Vihar-II
422,142,1,Towards Bus Stand,Local Market near Mandawali - West Vinod Nagar
423,142,2,Towards East Avenue,Local Market near Mandawali - West Vinod Nagar
424,142,3,Towards East Avenue,City Mall near Mandawali - West Vinod Nagar
425,143,1,Towards West Avenue,University near IP Extension
426,143,2,Towards East Avenue,Post Office near IP Extension
427,143,3,Towards Commercial Hub,Sports Complex near IP Extension
428,144,1,Towards Commercial Hub,PVR Cinemas near Anand Vihar
429,144,2,Towards South Block,Central Park near Anand Vihar
430,145,1,Towards Residential Area,PVR Cinemas near Karkarduma
431,145,2,Towards West Avenue,City Mall near Karkarduma
432,145,3,Towards Commercial Hub,University near Karkarduma
433,146,1,Towards Commercial Hub,Central Park near Karkarduma Court
434,146,2,Towards West Avenue,Bus Terminus near Karkarduma Court
435,146,3,Towards South Block,Bank Branch near Karkarduma Court
436,146,4,Towards East Avenue,Post Office near Karkarduma Court
437,147,1,Towards South Block,Post Office near Krishna Nagar
438,147,2,Towards East Avenue,Police Station near Krishna Nagar
439,148,1,Towards West Avenue,PVR Cinemas near East Azad Nagar
440,148,2,Towards Main Road,Bank Branch near East Azad Nagar
441,148,3,Towards Residential Area,Local Market near East Azad Nagar
442,148,4,Towards North Block,Local Market near East Azad Nagar
443,149,1,Towards Residential Area,University near Welcome
444,149,2,Towards Residential Area,Post Office near Welcome
445,149,3,Towards Residential Area,Sports Complex near Welcome
446,149,4,Towards Commercial Hub,Bus Terminus near Welcome
447,150,1,Towards Main Road,Police Station near Jaffrabad
448,150,2,Towards Main Road,Bus Terminus near Jaffrabad
449,151,1,Towards South Block,University near Maujpur - Babarpur
450,151,2,Towards Commercial Hub,Local Market near Maujpur - Babarpur
451,151,3,Towards East Avenue,Bank Branch near Maujpur - Babarpur
452,152,1,Towards Commercial Hub,Hospital near Gokulpuri
453,152,2,Towards Commercial Hub,Central Park near Gokulpuri
454,152,3,Towards East Avenue,Bank Branch near Gokulpuri
455,152,4,Towards Bus Stand,Sports Complex near Gokulpuri
456,153,1,Towards Commercial Hub,Local Market near Johri Enclave
457,153,2,Towards West Avenue,Post Office near Johri Enclave
458,153,3,Towards North Block,Sports Complex near Johri Enclave
459,153,4,Towards North Block,Post Office near Johri Enclave
460,154,1,Towards West Avenue,Bus Terminus near Shiv Vihar
